episode,reward,steps,success,collision,loss,epsilon
347,8.000000000000059,200,0.0,0.0,93.90143984152004,0.8406806736869129
348,19.999999999999957,200,0.0,0.0,77.99505884131416,0.8402603333500694
349,-89.6,36,0.0,1.0,107.68994974179401,0.8398402031833945
350,5.999999999999991,200,0.0,0.0,87.35618768949061,0.8394202830818028
351,-53.800000000000075,118,0.0,1.0,109.27489532107266,0.839000572940262
352,17.999999999999957,200,0.0,0.0,99.83690611151978,0.8385810726537919
353,-79.20000000000002,132,0.0,1.0,83.48602082981078,0.8381617821174651
354,33.999999999999865,200,0.0,0.0,85.79072805995122,0.8377427012264064
355,-92.39999999999998,104,0.0,1.0,86.60704891415887,0.8373238298757932
356,25.999999999999982,200,0.0,0.0,92.03307484541088,0.8369051679608553
357,23.99999999999982,200,0.0,0.0,114.33466259039939,0.8364867153768749
358,-87.39999999999999,34,0.0,1.0,83.40488363407991,0.8360684720191865
359,2.0000000000000164,200,0.0,0.0,102.56666315456852,0.835650437783177
360,-109.1,21,0.0,1.0,48.042069928986685,0.8352326125642855
361,13.999999999999982,200,0.0,0.0,88.5623065264523,0.8348149962580034
362,-3.999999999999987,200,0.0,0.0,71.05872006997465,0.8343975887598745
363,-90.6,146,0.0,1.0,84.88773275779127,0.8339803899654946
364,-91.69999999999999,67,0.0,1.0,83.48390085116696,0.833563399770512
365,31.999999999999858,200,0.0,0.0,95.7850808638148,0.8331466180706267
366,-5.551115123125783e-15,200,0.0,0.0,59.356820104829964,0.8327300447615915
367,-95.39999999999998,94,0.0,1.0,103.12528915941081,0.8323136797392108
368,-79.9,149,0.0,1.0,102.34573046910583,0.8318975228993413
369,-7.999999999999989,200,0.0,0.0,109.04555517317728,0.8314815741378917
370,-108.89999999999999,139,0.0,1.0,129.09915725350808,0.8310658333508228
371,-5.995204332975845e-15,200,0.0,0.0,92.06382355440408,0.8306503004341474
372,-71.70000000000007,87,0.0,1.0,97.59618693048499,0.8302349752839304
373,21.99999999999986,200,0.0,0.0,105.34028857452795,0.8298198577962885
374,-91.3,83,0.0,1.0,109.86081231933042,0.8294049478673904
375,17.999999999999858,200,0.0,0.0,87.62655608184636,0.8289902453934568
